"Temps(s)","S(Px)"
"0","0"
"0.0506172","-5.53836"
"0.100932","-10.3434"
"0.151303","-14.3713"
"0.201629","-17.6454"
"0.252037","-20.1629"
"0.302328","-21.9253"
"0.352767","-22.932"
"0.403046","-23.1838"
"0.453432","-22.781"
"0.505446","-21.7747"
"0.555522","-20.1643"
"0.625405","-17.0764"
"0.689066","-12.8722"
"0.739341","-9.04944"
"0.789684","-4.62033"
"0.840018","0.409485"
"0.890345","6.04523"
"0.940645","12.2853"
"0.990948","19.1254"
"1.04129","26.5743"
"1.09164","34.6283"
"1.14191","43.2814"
"1.1923","43.3484"
"1.24259","43.9523"
"1.29297","45.1603"
"1.34332","45.6974"
"1.39372","45.8991"
"1.44398","45.9661"
"1.49439","46.0334"
"1.54492","42.6764"
"1.59531","33.0694"
"1.64943","24.2623"
"1.6998","15.6088"
"1.75014","8.35992"
"1.80048","1.86511"
