"Temps(s)","S(Px)"
"0","407.487"
"0.0503359","399.38"
"0.100681","392.033"
"0.151006","385.438"
"0.201354","379.6"
"0.251742","374.513"
"0.302135","370.182"
"0.352463","366.605"
"0.402823","363.786"
"0.453156","361.721"
"0.503472","360.413"
"0.55387","359.859"
"0.604249","360.01"
"0.654556","360.766"
"0.704964","362.125"
"0.755358","364.091"
"0.80571","366.659"
"0.855994","369.828"
"0.906425","373.604"
"0.956762","377.987"
"1.00857","382.971"
"1.0752","390.555"
"1.14178","399.228"
"1.19198","406.445"
"1.24225","414.246"
"1.29588","422.647"
"1.34618","422.714"
"1.39654","419.965"
"1.44683","411.214"
"1.49757","403.209"
"1.54785","395.912"
"1.59823","389.416"
"1.64859","383.676"
"1.69896","378.694"
"1.74924","374.461"
"1.79967","370.989"
"1.84996","368.272"
"1.9003","366.308"
"1.95056","365.101"
"2.00094","364.648"
"2.05129","364.85"
"2.10162","365.655"
"2.15193","367.065"
"2.20233","369.079"
"2.25266","371.697"
"2.30302","374.918"
"2.35339","378.749"
"2.40377","383.179"
"2.45409","388.214"
"2.50448","393.853"
"2.55482","400.095"
"2.60527","406.939"
"2.65574","414.428"
