"Temps(s)","S(Px)"
"0","0"
"0.050339","0"
"0.100937","0"
"0.151294","0"
"0.201633","0"
"0.252028","0"
"0.302338","0"
"0.352758","0"
"0.404953","0"
"0.455117","0"
"0.521682","0"
"0.588366","0"
"0.638493","0"
"0.688772","0"
"0.739073","0"
"0.789366","0"
"0.839722","0"
"0.890017","0"
"0.940314","0"
"0.990616","-9.60828"
"1.04088","-18.4569"
"1.09123","-26.5588"
"1.14156","-33.9075"
"1.19186","-40.4966"
"1.2422","-46.3296"
"1.29253","-51.41"
"1.34284","-55.7413"
"1.39318","-59.3146"
"1.44355","-62.1345"
"1.49395","-64.1991"
"1.54433","-65.5103"
"1.59467","-66.064"
"1.64501","-65.9131"
"1.69534","-65.1589"
