"Temps(s)","S(Px)"
"0","1.87878"
"0.0503569","5.85992"
"0.100681","10.4404"
"0.151088","15.6221"
"0.201528","21.4114"
"0.251695","27.8002"
"0.302051","34.7992"
"0.3524","42.4019"
"0.402739","45.0704"
"0.453127","45.4733"
"0.503426","46.0771"
"0.553977","46.0771"
"0.604313","46.0771"
"0.654674","46.0771"
"0.705021","46.0771"
"0.75541","46.0771"
"0.805758","46.0771"
"0.856145","46.0771"
"0.906529","46.0771"
"0.956988","46.0771"
"1.00738","46.0771"
"1.06362","35.1274"
"1.11405","26.1219"
"1.1644","17.847"
"1.21469","10.3503"
"1.26505","3.60669"
"1.31549","-2.38885"
"1.36594","-7.6293"
"1.41617","-12.1083"
