"Temps(s)","S(Px)"
"0","0"
"0.0503631","0"
"0.100729","0"
"0.15288","0"
"0.202922","-9.61548"
"0.269505","-21.2814"
"0.336151","-31.5969"
"0.386877","-38.4431"
"0.437189","-44.6124"
"0.487518","-49.9412"
"0.537806","-54.5208"
"0.588192","-58.3475"
"0.638488","-61.4175"
"0.690355","-63.7939"
"0.740716","-65.355"
"0.791049","-66.1602"
"0.841429","-66.2273"
"0.893851","-65.6413"
"0.944239","-64.4836"
"0.994562","-62.7225"
"1.04486","-60.3571"
"1.09528","-57.3865"
"1.14558","-53.8097"
"1.19602","-49.6353"
"1.24627","-44.8525"
"1.29662","-39.4653"
"1.34696","-33.4753"
"1.39736","-26.8796"
"1.44765","-19.684"
"1.498","-11.8801"
"1.54833","-3.47772"
"1.59873","-0.540894"
"1.64915","-0.138123"
"1.69948","-0.0709839"
"1.75187","-0.00384521"
"1.81849","-6.49652"
"1.88512","-18.479"
"1.93514","-26.6135"
"2.00184","-36.2595"
"2.05223","-42.6078"
"2.10252","-48.1888"
"2.15277","-53.0154"
"2.20308","-57.0899"
"2.25427","-60.4077"
"2.32044","-63.6595"
"2.37069","-65.2179"
"2.42111","-66.0241"
"2.4714","-66.0912"
"2.52167","-65.5376"
"2.57197","-64.3811"
"2.6223","-62.6205"
"2.67264","-60.2562"
"2.72298","-57.2833"
"2.77343","-53.7121"
"2.82372","-49.5266"
