"Temps(s)","S(Px)"
"0","0"
"0.050333","0"
"0.100787","0"
"0.151102","-6.62909"
"0.201463","-15.9316"
"0.251762","-24.5002"
"0.302201","-32.3003"
"0.354127","-39.3531"
"0.404148","-45.7606"
"0.454349","-51.3201"
"0.50836","-56.4245"
"0.558655","-60.4053"
"0.609037","-63.6258"
"0.659457","-66.0956"
"0.709877","-67.8103"
"0.76025","-68.7668"
"0.810625","-68.985"
"0.860946","-68.5823"
"0.911291","-67.5756"
"0.961676","-65.9636"
"1.012","-63.7491"
"1.06246","-60.931"
"1.11267","-57.5074"
"1.16302","-53.4799"
"1.21338","-48.8475"
"1.26375","-43.6122"
"1.31405","-37.7753"
"1.36442","-31.3307"
"1.41475","-24.2821"
