"Temps(s)","S(Px)"
"0","0"
"0.0504169","0"
"0.100811","0"
"0.151315","0"
"0.201592","0"
"0.251976","0"
"0.302335","-3.28925"
"0.352711","-12.6633"
"0.40544","-21.2764"
"0.47027","-31.5872"
"0.521274","-38.5181"
"0.571574","-44.6067"
"0.622407","-49.9846"
"0.67274","-54.5691"
"0.723098","-58.3976"
"0.773443","-61.4668"
"0.825883","-63.8695"
"0.876157","-65.4281"
"0.926452","-66.2329"
"0.976728","-66.2999"
"1.02713","-65.746"
"1.07743","-64.5893"
"1.12784","-62.8279"
"1.17799","-60.4642"
"1.22836","-57.4952"
"1.27872","-53.921"
"1.32906","-49.7434"
"1.37937","-44.9626"
"1.42969","-39.5786"
"1.48021","-33.5872"
"1.5303","-27.0031"
"1.58056","-19.8121"
"1.63091","-12.0157"
"1.68132","-3.60089"
"1.73169","-0.667725"
"1.782","-0.265015"
"1.83237","0.003479"
"1.88273","0.003479"
"1.9331","0.003479"
"1.98342","0.003479"
"2.03389","0.003479"
"2.08424","0.003479"
"2.13467","0.003479"
"2.18502","0.003479"
"2.2354","0.003479"
"2.28577","0.003479"
"2.33609","0.003479"
"2.38645","0.003479"
"2.43687","0.003479"
