"Temps(s)","S(Px)"
"0","29"
"0.0503206","29"
"0.10227","29"
"0.152567","29"
"0.218843","16.0771"
"0.285523","4.48285"
"0.335862","-3.34979"
"0.386157","-10.3892"
"0.436451","-16.6754"
"0.486782","-22.2085"
"0.537115","-26.9907"
"0.587403","-31.0169"
"0.63775","-34.287"
"0.688158","-36.8046"
"0.73851","-38.5673"
"0.788887","-39.5756"
"0.839231","-39.8271"
"0.88948","-39.4247"
"0.939834","-38.4188"
"0.990206","-36.8058"
"1.04054","-34.5916"
"1.09087","-31.772"
"1.14125","-28.3503"
"1.19161","-24.3214"
"1.24195","-19.6892"
"1.29232","-14.4496"
"1.34267","-8.60931"
"1.39305","-2.16504"
"1.44345","4.8833"
"1.4938","12.5453"
