"Temps(s)","S(Px)"
"0","0"
"0.0503111","0"
"0.100717","0"
"0.151053","-6.4964"
"0.201436","-15.6196"
"0.25184","-23.9784"
"0.302137","-31.5806"
"0.352538","-38.4316"
"0.402901","-44.5229"
"0.453239","-49.8597"
"0.503578","-54.4405"
"0.553975","-58.2671"
"0.606115","-61.3378"
"0.656374","-63.6552"
"0.722976","-65.5674"
"0.789581","-66.1385"
"0.856088","-65.5352"
"0.90638","-64.3779"
"0.956761","-62.6159"
"1.00714","-60.2511"
"1.05738","-57.2818"
"1.10766","-53.7124"
"1.15805","-49.5367"
"1.20837","-44.7532"
"1.25866","-39.3714"
"1.309","-33.3846"
"1.35929","-26.794"
"1.40959","-19.5995"
"1.45997","-11.7994"
"1.51112","-3.39569"
"1.56142","-0.315491"
"1.61201","-0.114075"
